ticket_id,model,category,priority_reason,priority,sentiment,confidence,kb_article,reply,needs_human,latency_s,input_tokens,output_tokens,thinking_tokens,schema_errors,error
T032,Ministral 14B,CONTACT,Customer explicitly requests a human agent.,M,neutral,high,KB07,"You can reach a live agent via the chat widget in the bottom-right corner of the app. Type 'agent' to connect during our live chat hours (Monday–Friday, 8:00–20:00 GMT). For urgent matters outside these hours, email support@nimbuscrm.example, and we’ll respond within 4 business hours for paid plans.",False,2.14,2613,141,0,,
T033,Ministral 14B,INVOICE,Customer needs to retrieve an invoice but is not blocked or at risk.,M,neutral,high,KB02,"To download invoice #85632, log in to your Nimbus CRM account and go to **Settings → Billing → Invoices**. Search for the invoice by number or date, then click **Download** to save it as a PDF. If you don’t see the invoice, ensure you’re logged in as an admin or billing contact, as only these roles can access invoices.",False,1.98,2623,152,0,,
T034,Ministral 14B,ACCOUNT,Downgrade request is a revenue-at-risk churn signal (explicit rule).,H,neutral,high,KB01,"You can downgrade to the Free plan in **Settings → Billing → Change plan**. Note that downgrades take effect at the end of your current billing period, and paid features will be limited. Your data will remain read-only for 90 days. If you have questions about this process, a specialist will assist you further.",True,2.18,2618,141,0,,
T035,Ministral 14B,INVOICE,Customer needs to find an invoice but is not blocked and nothing is at risk.,M,neutral,high,KB02,"You can find and download invoice #85632 in **Settings → Billing → Invoices**. If you’re not an admin or billing contact, ask your workspace admin to share it with you or add you as a billing contact.",False,1.98,2617,123,0,,
T036,Ministral 14B,FEEDBACK,"Strong frustration (profanity) → bump up one level, capped at H.",H,angry,high,KB08,I’m sorry you’re frustrated. You can leave feedback or a formal complaint at **nimbuscrm.example/complaints** or via **Help → Give feedback** in the app. A specialist will review it within 2 business days. Let me know if you’d like help escalating this further.,True,1.98,2615,138,0,,
T037,Ministral 14B,CONTACT,"Strong frustration ('you are not helpful') bumps priority up one level, capped at H.",H,frustrated,high,KB07,"I’m sorry you’re frustrated. You can reach a live agent via the chat widget in the app (type 'agent') or call your dedicated account manager if you’re on the Platinum plan. Live chat is available Monday–Friday, 8:00–20:00 (GMT).",True,3.13,2616,133,0,,
T038,Ministral 14B,NEWSLETTER,No action needed urgently; information request only.,L,neutral,high,KB05,"You can unsubscribe from the Nimbus newsletter by clicking **Unsubscribe** at the bottom of any newsletter email, or by turning it off in **Settings → Notifications → Newsletter**. Changes take effect within 48 hours. Unsubscribing won’t affect your account or billing emails.",False,1.62,2613,128,0,,
T039,Ministral 14B,FEEDBACK,No urgency or risk; information request.,L,neutral,high,KB08,"You can leave a review or share feedback using **Help → Give feedback** in the Nimbus CRM app, or by filling out the form at [nimbuscrm.example/feedback](nimbuscrm.example/feedback). Let us know how we can improve!",False,1.59,2614,113,0,,
T040,Ministral 14B,INVOICE,Customer needs to view an invoice but is not blocked or at risk of churn.,M,neutral,high,KB02,"You can view and download invoice #37777 in **Settings → Billing → Invoices**. If you’re not an admin or billing contact, ask your workspace admin to add you as a billing contact so you can see it. Let us know if you need further help!",False,1.6,2615,132,0,,
T041,Ministral 14B,FEEDBACK,Formal complaint ('consumer reclamation') qualifies as a churn signal under explicit rules.,H,frustrated,high,KB08,"Thank you for bringing this to our attention. You can submit your formal complaint at [nimbuscrm.example/complaints](nimbuscrm.example/complaints) or email **complaints@nimbuscrm.example**. Your complaint will receive a reference number, an acknowledgement within **2 business days**, and a detailed response within **10 business days**. If you need immediate assistance, reply with your invoice or account details, and a specialist will follow up.",True,2.1,2615,175,0,,
T042,Ministral 14B,PAYMENT,Customer is blocked from using the product due to a payment issue.,H,neutral,high,KB03,"I’m sorry to hear about the payment issue. Could you check if your card is expired or if there are insufficient funds? You can update your payment method in **Settings → Billing → Payment method** or retry the payment directly in **Settings → Billing**. If the problem persists, share the error message or screenshot with us for further help.",True,1.63,2614,141,0,,
T043,Ministral 14B,NEWSLETTER,Information request with no action needed urgently.,L,neutral,high,KB05,"You can subscribe to our monthly Nimbus newsletter at **nimbuscrm.example/newsletter** or in **Settings → Notifications → Newsletter**. To unsubscribe, click **Unsubscribe** at the bottom of any newsletter email or disable it in the same menu. Changes take effect within 48 hours. Unsubscribing won’t affect account or billing emails.",False,1.77,2610,142,0,,
T044,Ministral 14B,CONTACT,"Customer needs to know support hours, no urgency or risk involved.",M,neutral,high,KB07,"You can check our customer service hours in **Settings → Help → Contact us** or at nimbuscrm.example/support-hours. Live chat and phone support are available **Monday–Friday, 8:00–20:00 (GMT)**. Email support (support@nimbuscrm.example) is available 24/7.",False,1.86,2616,144,0,,
T045,Ministral 14B,REFUND,"Customer is asking about a refund status or problem, which is a churn signal.",H,frustrated,high,KB04,"I’m sorry to hear you’re having trouble with your refund. To check the status, log in to **Settings → Billing → Invoices** and look next to the relevant invoice. If you’ve already requested a refund and it hasn’t arrived within 15 business days of approval, reply with your invoice number so we can investigate further. If you haven’t requested it yet, you can do so in the same menu under **Request refund**.",True,2.08,2616,167,0,,
T046,Ministral 14B,PAYMENT,Information request with no urgency or risk.,L,neutral,high,KB03,"Nimbus CRM accepts Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only for annual plans of $5,000 or more. We do not accept cheques or cryptocurrency.",False,1.9,2612,120,0,,
T047,Ministral 14B,ACCOUNT,Customer is blocked from using the product due to a sign-up error.,H,neutral,high,KB01,"If you’re having trouble signing up, try these steps first: Use **Forgot password** if your email is already registered, or check your spam folder for the verification email. If the issue persists, reply with a screenshot of the error, and a specialist will assist you directly.",True,3.29,2614,129,0,,
T048,Ministral 14B,REFUND,"Customer is asking about refund status or a problem with a refund, which is a churn signal.",H,neutral,high,KB04,"Hi there, I see you’d like to request a refund. Could you share the invoice number or date so I can assist you directly? If you haven’t already, you can also request a refund in **Settings → Billing → Invoices** next to the relevant invoice. Let me know how I can help!",True,1.73,2614,140,0,,
T049,Ministral 14B,{'TYPE': 'ACCOUNT'},"{'type': 'string', 'description': 'Customer needs to update account details, but is not blocked or at risk of churn.'}",M,neutral,high,KB01,"{'type': 'string', 'value': 'You can update your Platinum account details, such as name, email, or company information, in **Settings → Profile**. If you need to change billing details (e.g., company name, tax/VAT ID), go to **Settings → Billing → Billing details**. Email changes require confirmation from both the old and new addresses. Let us know if you run into any issues!'}",False,2.62,2609,186,0,"category=""{'TYPE': 'ACCOUNT'}""",
T050,Ministral 14B,FEEDBACK,Formal complaint lodging is a churn signal (explicit rule).,H,neutral,high,KB08,"You can lodge a formal complaint at **nimbuscrm.example/complaints** or by emailing **complaints@nimbuscrm.example**. Every complaint receives a reference number, an acknowledgement within **2 business days**, and a written response within **10 business days**. If you need further assistance, let me know.",True,2.16,2610,141,0,,
