ticket_id,model,category,priority_reason,priority,sentiment,confidence,kb_article,reply,needs_human,latency_s,input_tokens,output_tokens,thinking_tokens,schema_errors,error
T033,Ministral 14B,INVOICE,Customer needs to retrieve an invoice but is not blocked and nothing is at risk.,M,neutral,high,KB02,"To download invoice #85632, log in to your Nimbus CRM account and go to **Settings → Billing → Invoices**. You can search for the invoice by its number or date, then download it as a PDF. If you’re not an admin or billing contact, ask your workspace admin to add you as a billing contact so you can view invoices.",False,1.86,2930,151,0,,
T034,Ministral 14B,ACCOUNT,Downgrade requests are classified as High priority due to revenue at risk.,H,neutral,high,KB01,"You can downgrade to the Free plan in **Settings → Billing → Change plan**. This change will take effect at the end of your current billing period, and you’ll retain read-only access to your data for 90 days. Let me know if you need further guidance!",True,1.67,2925,129,0,,
T035,Ministral 14B,INVOICE,Customer needs to find or view an invoice but is not blocked or at risk of churn.,M,neutral,high,KB02,"You can find and download invoice #85632 in **Settings → Billing → Invoices**. If you’re unable to locate it, ensure you’re logged in as an admin or billing contact, as only these roles can view invoices. If you still can’t see it, let me know, and I’ll assist further.",False,2.23,2924,145,0,,
T036,Ministral 14B,FEEDBACK,"Formal complaint indicated by profanity and explicit request for feedback/complaint channel, bumping priority from base level (L) to H due to frustration.",H,angry,high,KB08,"I’m sorry to hear you’re frustrated. You can leave a formal complaint at [nimbuscrm.example/complaints](https://nimbuscrm.example/complaints) or email **complaints@nimbuscrm.example**. Your feedback will be acknowledged within **2 business days**, and we’ll respond within **10 business days**. If you’d prefer, you can also use the feedback form in the app (**Help → Give feedback**). We take your concerns seriously and will escalate this if needed.",True,2.46,2922,198,0,,
T037,Ministral 14B,CONTACT,"Customer explicitly requested a human agent and expressed frustration ('you are not helpful'), triggering the frustration bump to H per rubric rule v4.",H,frustrated,high,KB07,"I’m sorry for the frustration. You can reach a live agent by opening the chat widget in the bottom-right corner of the app and typing 'agent' during our live hours (Monday–Friday, 8:00–20:00 GMT). Platinum customers can also call their dedicated account manager. If you’re outside these hours, your message will be converted to an email ticket and answered as soon as possible.",True,2.43,2923,173,0,,
T038,Ministral 14B,NEWSLETTER,No action needed urgently; information request about unsubscribing from the newsletter.,L,neutral,high,KB05,You can unsubscribe from the Nimbus newsletter by clicking **Unsubscribe** at the bottom of any newsletter email or by turning it off in **Settings → Notifications → Newsletter**. Changes take effect within 48 hours. Unsubscribing won’t affect your account or billing emails.,False,1.7,2920,133,0,,
T039,Ministral 14B,FEEDBACK,Information request with no urgency or risk; no action needed urgently.,L,neutral,high,KB08,"You can leave a review or share product feedback through **Help → Give feedback** in the Nimbus CRM app, or by using the feedback form at [nimbuscrm.example/feedback](https://nimbuscrm.example/feedback). Your input goes directly to our product team.",False,1.76,2921,129,0,,
T040,Ministral 14B,INVOICE,Customer needs to view an invoice but is not blocked and nothing is at risk.,M,neutral,high,KB02,"You can view and download invoice #37777 in **Settings → Billing → Invoices**. If you’re unable to locate it, ensure you’re logged in as an admin or billing contact, as only these roles can access invoices. If the issue persists, let me know!",False,2.07,2922,134,0,,
T041,Ministral 14B,FEEDBACK,Formal complaint ('consumer reclamation') qualifies as a high-priority ticket under the explicit rule for formal complaints.,H,angry,high,KB08,"Thank you for bringing this to our attention. You can submit your formal complaint at [nimbuscrm.example/complaints](nimbuscrm.example/complaints) or email **complaints@nimbuscrm.example**. Your complaint will receive a reference number, an acknowledgement within **2 business days**, and a detailed response within **10 business days**. If needed, we can escalate this further to our Head of Customer Experience.",True,2.33,2922,175,0,,
T042,Ministral 14B,PAYMENT,"Customer is experiencing a payment problem, which blocks product access if unresolved.",H,neutral,high,KB03,"I’m sorry to hear about the trouble with your online payment. Could you clarify the issue—e.g., whether the payment failed, was declined, or appears incorrect? For failed payments, try updating your card in **Settings → Billing → Payment method** or use **Retry payment**. If the problem persists, share the invoice number, and we’ll investigate within 2 business days.",True,1.73,2921,150,0,,
T043,Ministral 14B,NEWSLETTER,Information request with no action needed urgently (base level L).,L,neutral,high,KB05,"You can subscribe to our monthly Nimbus CRM newsletter by visiting [nimbuscrm.example/newsletter](nimbuscrm.example/newsletter) or navigating to **Settings → Notifications → Newsletter** in your account. If you’d like to unsubscribe, you can do so by clicking **Unsubscribe** at the bottom of any newsletter email or by turning it off in the same **Notifications** menu. Changes take effect within 48 hours.",False,2.01,2917,164,0,,
T044,Ministral 14B,CONTACT,Question about support hours is a courtesy request with no action needed urgently (base level L).,L,neutral,high,KB07,"You can check our customer service hours in the help centre at **Settings → Help → Contact us** or directly [here](nimbuscrm.example/contact). Live chat and phone support are available **Monday–Friday, 8:00–20:00 (GMT)**. Email support is answered 24/7.",False,1.83,2923,145,0,,
T045,Ministral 14B,REFUND,Asking how to get a refund (base level M).,M,neutral,high,KB04,"To request a refund, log in to your account and go to **Settings → Billing → Invoices**. Next to the relevant invoice, click **Request refund**. If you need further assistance, let us know the invoice number, and we’ll help.",False,1.99,2923,121,0,,
T046,Ministral 14B,PAYMENT,Question about payment methods (base L). No frustration or urgency indicated.,L,neutral,high,KB03,"Our accepted payment methods are Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only for annual plans of $5,000 or more. We do not accept cheques or cryptocurrency. You can update your payment method in **Settings → Billing → Payment method**.",False,2.16,2919,143,0,,
T047,Ministral 14B,ACCOUNT,Customer is blocked from using the product (sign-up error).,H,neutral,high,KB01,"To report a sign-up error, please reply here with a screenshot of the error message. Our team will investigate and help you resolve it within 2 business days. You can also check if your email is already registered by using the **Forgot password** option.",True,2.16,2921,124,0,,
T048,Ministral 14B,REFUND,Asking how to request a refund (base level M).,M,neutral,high,KB04,"To request a refund, you can do so directly in your account under **Settings → Billing → Invoices → Request refund** next to the relevant invoice. Alternatively, you can contact support with the invoice number, and we’ll assist you. Please note our refund policy allows full refunds within 14 days for monthly plans or 30 days for annual plans.",False,2.67,2921,145,0,,
T049,Ministral 14B,ACCOUNT,"Customer needs to update account details, which is not urgent but requires action.",M,neutral,high,KB01,"To update your Platinum account details, go to **Settings → Profile** in your Nimbus CRM workspace. Here, you can edit your name, email, or company details. If you’re changing your email address, you’ll need to confirm the update from both your old and new email addresses. Let us know if you need further assistance!",False,2.14,2916,140,0,,
T050,Ministral 14B,FEEDBACK,"Formal complaint lodging is a churn signal, requiring urgent attention (explicit rule: 'Formal complaints = H').",H,neutral,high,KB08,"You can lodge a formal complaint by submitting a form at **nimbuscrm.example/complaints** or emailing **complaints@nimbuscrm.example**. Every complaint receives a reference number, an acknowledgement within **2 business days**, and a written response within **10 business days**. If you need further assistance, a specialist will follow up shortly.",True,2.42,2917,158,0,,
